,negative,neutral,positive,helpfulness,burst,count
A2BRUI1IG8YFUC,0.1428571429,0.4285714286,0.4285714286,1,1.3333333333,7
A22OL53QZOM1WI,0,0.2,0.8,0.6666666667,0.6666666667,5
A2GR77INMKX9O4,0.1428571429,0.1428571429,0.7142857143,1,0.75,7
A3JS6HJ9RQFYCW,0,0,1,2,0,6
AOHO9LCKH7WYX,0.1428571429,0,0.8571428571,1,2.5,7
A1Y3FEUELH3FTI,0,0,1,0,0.4,7
A2GUNK41KY79X5,0,0,1,1,0,5
A3OSECC94X20C8,0,0.2,0.8,0,0.6666666667,5
A8AOUGMVLER3L,0,0.4285714286,0.5714285714,2,0.75,7
A25CY0I386755K,0,0.1428571429,0.8571428571,0,2.5,7
A3F7SKMP68RGHL,0.2,0,0.8,0,0.6666666667,5
A3FB8CUGO3QK0,0.2,0.4,0.4,0,4,5
A1K7Z84LAQXJH1,0.4,0,0.6,3.5,0,5
A36NKHDBTFN8L5,0,0.2,0.8,0,0.25,5
A3ANCQB1D8GLIL,0,0.2,0.8,0,0.6666666667,5
A18K94O1HEEFFP,0,0.2,0.8,2.7142857143,0,5
A3LZ3ZAIQTHJPP,0.1666666667,0.1666666667,0.6666666667,0,2,6
A1BLQ0ISWZK5V4,0,0,1,0,1,8
A17Y6JWACWLAXE,0,0.6,0.4,0,4,5
A39P5WRYFYQWEV,0,0,1,0,4,5
A1WJ9679CCAXNS,0,0,1,2,0,5
AOC9E0EFV3PPC,0,0,1,1,0.5,6
A2S2GRTP3L8EEC,0.6,0,0.4,1,0.6666666667,5
A2GWEUHB5WV194,0,0.3333333333,0.6666666667,1.7692307692,0.5,6
AS372BT4HCYL1,0,0.2,0.8,1,4,5
A2WIZDRF5R7VKQ,0.2,0.6,0.2,0,0.25,5
A21YAVV6CXO9I2,0.1666666667,0.5,0.3333333333,0,5,6
A2I8KUDXTC9WYI,0,0,1,0,0.5,15
AIBG2ARVCA432,0.6,0,0.4,0.7142857143,0.25,5
A36ENEOTDAKTDL,0,0.3333333333,0.6666666667,0,1,6
A16EBND18E5ZHB,0,0.1666666667,0.8333333333,1,0.2,6
A2OSM4R5DT1HSN,0,0.1428571429,0.8571428571,0,2.5,7
A1NE6AUD313ZYP,0,0,1,0,4,5
A1TSS7JDXL90TD,0,0.6,0.4,1,0,5
ADA0CDISNCDYM,0.2,0.2,0.6,1.3235294118,0.25,5
A2GCQ9R1QIUDS2,0.1428571429,0,0.8571428571,1.6666666667,0.1666666667,7
A3XPRA7BJCLRE,0,0,1,0.8333333333,1.5,5
A3T53I3KG1QVSZ,0.3333333333,0.3333333333,0.3333333333,0.5,2,9
A3QM34OFDJI83W,0.2,0,0.8,1.3636363636,0.6666666667,5
A3K437IJAQ8XCQ,0.6666666667,0.1666666667,0.1666666667,0,2,6
ATU3LX13K695B,0.1666666667,0,0.8333333333,1,0.2,6
A2LRIURBNT9IDF,0,0,1,1,0,6
AGZ9LJMSUXYK5,0.4,0.2,0.4,1,0,5
A1WUND9POA0PG4,0.1666666667,0,0.8333333333,0,0.5,6
A3JQ4VY60CLZMJ,0,0,1,0.5,0.6666666667,5
A3RNJ9TMHLMZ0J,0.2,0,0.8,0,0.6666666667,5
A201PD0DMR51CR,0,0,1,1.3333333333,0.2857142857,9
A3LKZ8VKWMGHFB,0.2,0.4,0.4,0.75,0.25,5
A1M6GJJAGVE4Y5,0.6,0,0.4,2,0,5
A1A6GFS4VFDV58,0.1428571429,0.2857142857,0.5714285714,1,0.4,7
A1TMBZGBQKAI8G,0.7777777778,0,0.2222222222,1,0.8,9
A2WXRMYJGNI7E8,0.0769230769,0.0769230769,0.8461538462,1.4,1.6,13
A3MT6MJOGA49VZ,0.1666666667,0.1666666667,0.6666666667,1,2,6
A2FBSNHDOGYASX,0,0.1666666667,0.8333333333,1,2,6
A2B3FCBA5QZSK3,0.2,0.2,0.6,2,0,5
A15QVZRY7QISTW,0,0,1,1,0.25,5
A13J3NA8HK31QN,0.2,0,0.8,0,0,5
A3N9P9F4GOAZ29,0.4,0.4,0.2,1.5,0.6666666667,5
AYYKYOPKBFFQL,0,0,1,0.6666666667,3.5,9
A3VFAEC7X7JQAW,0,0.2,0.8,3,0.6666666667,5
ABEDDF2NJAHSA,0.3333333333,0.3333333333,0.3333333333,3.1071428571,0.2,6
A9U4000UEOVF,0.1666666667,0,0.8333333333,1.6014492754,0.5,6
AV6J5OTT4AGWH,0.125,0.375,0.5,0,1,8
A2PT8MAH3G2I6Q,0.1666666667,0.3333333333,0.5,1,0,6
A1QJ6N5LVZ79LN,0.25,0,0.75,1.1666666667,0.1428571429,8
A2UXYK1JXAN35J,0.2,0.2,0.6,0.6666666667,0.6666666667,5
A2TGUWUFVWHD5W,0,0,1,1.4166666667,0,5
A3S7M7GT2LGBLA,0,0.1666666667,0.8333333333,1,1,6
A6MEVCQFJGYDC,0,0.125,0.875,1,0.6,8
A20Y47IT8LR1UY,0.2857142857,0.2857142857,0.4285714286,3.8888888889,0.1666666667,7
A26L4QHFHX9GBG,0,0,1,1.9743589744,0.5,6
A34IP5F13L4CIN,0.3333333333,0.1666666667,0.5,4.3090909091,0,6
A3QBB71XII2MA4,0,0,1,0,2,6
A3UBG84MLU2DZT,0.3333333333,0.1666666667,0.5,0,0.2,6
A1FMBM11JNKNZF,0.1428571429,0.1428571429,0.7142857143,2,0.4,7
ANR52RZ2TSBLP,0,0.1666666667,0.8333333333,2,0.5,6
A2FUNN2NPIZXIA,0.2,0.2,0.6,2,0,5
A30QZ5R9QCT2C9,0.12,0.12,0.76,1,2.125,25
A3UVJNSJCVBG0D,0,0,1,0,1.5,5
A2HYTUOURNH4AW,0.2,0,0.8,3.5466666667,0,5
A30P3JEY6DKZKV,0.3333333333,0.1666666667,0.5,1,2,6
A3UXP9A02SWZI0,0,0,1,0,1,6
A3FOOGDVP1B3QZ,0,0.2,0.8,1,0.6666666667,5
A2G7690RRC71WJ,0,0,1,0.5,2.5,7
A3KD3BDSR87NYI,0,0.6,0.4,0,1.5,5
A3I0EQUFL7WZ7J,0,0.125,0.875,0.6666666667,1.6666666667,8
A3UM1ALT1EFSEN,0,0,1,2,4,5
A1Q9ODEHSG0GB7,0.2,0.4,0.4,0,0.6666666667,5
A1NX3Y9YW5EMKK,0.4,0,0.6,1,1.5,5
AQZL4RGKSC8KH,0,0,1,2.6571428571,0.25,5
A268FKAUZ7RH7D,0,0,1,1,1.6666666667,8
A26HDJ9VE8SMV,0.2,0,0.8,0,1.5,5
A17EMY384CIXET,0,0.1666666667,0.8333333333,1,5,6
A1CT1N98MMFUVN,0,0,1,0,0.25,5
A7Q23U29RVAET,0,0,1,0,0,5
A27KTLDSBWXNED,0.4285714286,0,0.5714285714,1.75,0.4,7
A15DGYOO5A811V,0.1666666667,0,0.8333333333,1.8571428571,1,6
A2OZ6PW2W5FQTP,0,0.1428571429,0.8571428571,3.8571428571,0.4,7
A2B3OWTRU3QL8P,0,0.25,0.75,1.5,0.6,8
A2FI41S6F8J26W,0.4285714286,0,0.5714285714,1.6666666667,1.3333333333,7
A1GQ9JJXCUGZ7W,0,0.3333333333,0.6666666667,0,1,6
A312LE5GYERBD7,0.1,0,0.9,0.6666666667,4,10
A3NJX3AH9N1SN5,0.8,0.2,0,1,0.25,5
A2UZCXV5TPQ78V,0.1428571429,0,0.8571428571,1,0.75,7
A2K0HK2UUX8RKA,0,0,1,1,6,7
A1HHL3WQC1OZ6Z,0,0,1,4.3754097384,0.1666666667,7
A24ZUNU45HDKIM,0,0.1,0.9,1.447761194,4,10
A2E1C8G0PYTUYT,0,0,1,1,1,6
A2X6BVYG1S0AVK,0,0,1,0.8,0.6666666667,5
A23PYCN8O9IUNH,0.375,0.125,0.5,0,1.6666666667,8
A2OT5TXOYHP8MX,0,0,1,0.5,0,5
A3V8NWDZ5ND99C,0,0.2,0.8,0,1.5,5
A17NVM7IAPF2NS,0.0909090909,0.0909090909,0.8181818182,5.6666666667,0,11
A8G63XJWVXGXK,0,0,1,2,0.6666666667,5
A35CJ44RCZNA24,0,0,1,0.75,0.25,5
A31KQG2YT4V5S5,0.1666666667,0.1666666667,0.6666666667,1,5,6
A371GJBRGJ8FB,0,0,1,0,0.6666666667,5
A3PO545X7ISA1B,0.0909090909,0,0.9090909091,0.3636363636,2.6666666667,11
A3P3XP70BMBX06,0,0,1,0.6666666667,0.6,8
A1E74OKDCHYTNA,0,0,1,5.1666666667,0.4444444444,13
A1QF4Z4P6D3FO4,0.6666666667,0,0.3333333333,0.9090909091,1,6
A3SPRSLV03DT6Y,0,0,1,1,0,6
A2UWPFYTMPW6S5,0.4,0.2,0.4,1,1.5,5
ATV4JE99Y1YEC,0,0.2,0.8,0.6666666667,0.6666666667,5
A13XB9BFK2O5FZ,0,0,1,0,0.4,7
A1Y7G99DYCTN3W,0.2857142857,0.2857142857,0.4285714286,0,2.5,7
A2GWVMDW3YA6G0,0.1428571429,0,0.8571428571,0,6,7
A1UFLB7YL70RVV,0.1666666667,0.3333333333,0.5,0.5,2,6
A2R3EBL63KHUUZ,0,0,1,1,0,5
A2YEZ8Z3BW2SKG,0,0.2307692308,0.7692307692,6.7880952381,0.0833333333,13
AH6ZF6XYO1MKN,0.2,0,0.8,0,0.25,5
A2P569CM75RRH0,0.0666666667,0,0.9333333333,2,2,15
A3M04IJGN9JXMH,0,0.1428571429,0.8571428571,0,2.5,7
A2UG220UJU5DO,0,0,1,11.8736211991,0.4166666667,17
A250HGRZ6U4UO2,0,0,1,0.8,0.25,5
A4UTVO4FJHVZI,0.2,0.4,0.4,3,0,5
A3LKCF7Y9ZR5K7,0.2,0,0.8,1,1.5,5
A3PYZ493962DGP,0.1666666667,0,0.8333333333,2.15,0.2,6
A1W7Y3WRS82EBK,0.0588235294,0.2941176471,0.6470588235,3,2.4,17
A6E160OXH3B51,0,0,1,0,4,5
A1UYT6CUPXWS3R,0,0,1,1,0.1666666667,7
A3PKPEB6W432PZ,0.2,0.2,0.6,1.9565217391,0.6666666667,5
AYLLSFYS3UP1H,0,0.2,0.8,4.0583333333,0.4285714286,10
A3NV56MCHL9YVV,0.3333333333,0.1666666667,0.5,0.6666666667,2,6
A38C12950IM24P,0,0,1,9.3070175439,0.5789473684,30
A2VR0GY0OCINKZ,0.2857142857,0,0.7142857143,0,2.5,7
A3S0N3CJPUJ2HC,0.4,0,0.6,1.5,0,5
A1KX13ZM3NHW6I,0.3333333333,0.1666666667,0.5,0,0.5,6
ATCO3TSCE2GIC,0.1428571429,0.2857142857,0.5714285714,0,1.3333333333,7
A14WOMCBLTBS0S,0,0,1,1,4,5
AO1K2896WMQ11,0,0.1428571429,0.8571428571,0,1.3333333333,7
A1HZLG7N2LYJSA,0,0.125,0.875,4.2802197802,0.1428571429,8
A15TABNGK6L4N3,0,0,1,0,0.6666666667,5
A1TV5XS12RFPJH,0,0,1,1.9166666667,0,5
A33DDXS9NQTD0B,0,0.4,0.6,2.6156862745,0,5
A2XBYG07YUHPV9,0,0,1,1,1.5,5
A1IDAKX7OM3QIE,0.2857142857,0,0.7142857143,2.5205223881,0,7
AF27YM78JY8TK,0,0.2,0.8,3.4166666667,0,5
A2YF0NQ9KXHOQX,0.6666666667,0,0.3333333333,1.75,0.2,6
A18FEBPBKK2ND3,0,0,1,0,9,10
AABJP9IK73KTV,0,0,1,0,4,5
A121Y18LAY5RUH,0,0.1428571429,0.8571428571,0,0.4,7
A2BI4N88JL4OBL,0.125,0,0.875,0,0.6,8
A198L8PJPFUMJ5,0,0.125,0.875,0,1,8
A1N39INABPHEJ7,0.2222222222,0.3333333333,0.4444444444,0,0.8,9
AAV48AQLGFEPZ,0.4285714286,0,0.5714285714,2,1.3333333333,7
ALFJNW2ZDPCM,0,0,1,0,1.5,5
A37UYRKMKIQYFB,0,0.2,0.8,1,0.6666666667,5
A1T2R847LI1YIG,0,0.2857142857,0.7142857143,0,1.3333333333,7
A393LGGUIP50EQ,0.2,0.2,0.6,0,1.5,5
A2Z1S4H2FGHZG1,0,0,1,1,0,5
A19MBYIJJP3REM,0.2,0,0.8,0.75,0.25,5
A3HYFFRQD1KE36,0,0.1666666667,0.8333333333,1,0.2,6
A2IOFUBWAGGDX3,0,0,1,2,0,5
A4JDZF0DOIKFS,0.2,0,0.8,0.3333333333,1.5,5
A3NXJZBRM7PK0F,0.8,0,0.2,1.5,0.25,5
A2WSQJI49XRMOB,0,0,1,1,0,5
A3A5XNAM3ZW7Z6,0,0,1,0.6923076923,0,5
A39F3J59AAW5DE,0,0,1,1.75,0,5
A26NSWOAKB86LM,0,0,1,1,0.4,7
A23GIGS4VUZTM0,0,0.2,0.8,1,0.25,5
A35TOWGG1F5CZM,0,0,1,1.5,0.6666666667,5
A1VD4NW9WTLVGH,0,0,1,0.8,4,5
A3HIUWKL4D853W,0,0.125,0.875,1,0.3333333333,8
AWDVCVP2E24B4,0,0.1818181818,0.8181818182,2.6323529412,0.375,11
A1CPRP3VFJRS1R,0.380952381,0.0476190476,0.5714285714,10.2760082831,0.1666666667,21
A3BDPN2AKH7XOQ,0.2,0.2,0.6,1,0.6666666667,5
AE38QKUOSNNSY,0,0,1,0.7142857143,0.6666666667,5
A1PJ21JFEING7D,0.1428571429,0.1428571429,0.7142857143,1,0.75,7
A2VSKUR61RYPYH,0,0,1,0.5,0.75,7
A2LSS3CQGWOXYV,0,0.2,0.8,0,1.5,5
A2TDJ0AWUXR16Q,0.4,0.4,0.2,0,0.25,5
A2N5Q5RI0MN62N,0,0.4,0.6,0,0,5
A2UQX5154CPXIZ,0,0.2,0.8,2,0.6666666667,5
A330WA87Q307UE,0.1,0.2,0.7,0.5,1,10
AXGU1QV70M0UL,0,0,1,1,5.5,13
A3C9QDF1X4NBV0,0.7142857143,0,0.2857142857,1,0.4,7
A3DIE9B9RV2Q0Z,0,0.1,0.9,0.3333333333,0.4285714286,10
A2P7DIYEPSOJB0,0,0.0714285714,0.9285714286,0.8,1.3333333333,14
A3LPIG8QZ11CLX,0.2,0,0.8,0.5,1.5,5
A15FT1LE5BN6XA,0.1428571429,0.1428571429,0.7142857143,1,0.75,7
A20GA5K9P8QBS6,0,0,1,0.5,1.5,5
A1HRECPV2Q79BG,0.2857142857,0.2857142857,0.4285714286,1.5,0.1666666667,7
A1OOF1K4R92UJM,0.2222222222,0.2222222222,0.5555555556,3,1.25,9
AJJWL4W21PVVA,0.2,0.2,0.6,0,1.5,5
A1MNTHAPZ12MLF,0,0,1,0,1,6
A1FUVSOPHXLZF5,0.1428571429,0.1428571429,0.7142857143,3.6666666667,0.4,7
A1IBKANWDYYFMV,0,0.8,0.2,0,0,5
ASV0NXDM4FYT3,0,0,1,2.4166666667,2,12
A14SHX81H8FGDO,0.1111111111,0,0.8888888889,2,1.25,9
A3PDGWYC08DXF4,0,0,1,2.9217391304,0,5
A1ADLC508DKK6I,0,0.1111111111,0.8888888889,1,0.2857142857,9
AQ6AGWKWMTY8H,0.1428571429,0.1428571429,0.7142857143,0.8333333333,0,7
A2W5S26XTAFD97,0,0,1,0.6666666667,0.25,5
A1A46E7UE42NAC,0.25,0.125,0.625,0,7,8
A5TKLXLIR9R8W,0.1428571429,0.2857142857,0.5714285714,0,6,7
A2FXV7J7DYEK76,0,0.4,0.6,0,0.25,5
A2UZD1O1E7IPCG,0.125,0.125,0.75,0.5,3,8
A3C9XUQ3NDRML1,0,0,1,0,2,9
AAGRFJKI8HASF,0,0.2,0.8,0,1.5,5
AMY7J0SZG27Z2,0,0.1666666667,0.8333333333,1.75,0,6
AMTGGVMO94SVQ,0.3333333333,0.5,0.1666666667,0,2,6
A1B53RCYCGVXBA,0,0.1428571429,0.8571428571,1,0.1666666667,7
A3CJPPFXD9TK8D,0.2857142857,0.1428571429,0.5714285714,1,0.75,7
APRU373UYVK2Y,0.1666666667,0.5,0.3333333333,1.0909090909,0,6
A3L9E0YI7C5G0W,0.1428571429,0,0.8571428571,1.5,0.75,14
A2DO8B41AI21V1,0,0,1,1.4,1,6
A17E8FKH09XAY2,0.25,0.25,0.5,0,7,8
AMLS04IIMIO0F,0,0.2857142857,0.7142857143,0,0.75,7
AQBNG63JXLUSG,0,0.2,0.8,0,1.5,5
A1DCNMRBNSTN59,0.25,0,0.75,4.9,0,8
ADZNLCXNYH3FN,0.4,0.2,0.4,2,1.5,5
A3FUANDNY0PJB2,0,0,1,2.5,4,5
A1G84SXKH9ERIY,0,0.1666666667,0.8333333333,1.6666666667,0.5,6
A1QOPEPON78GPI,0,0,1,1,1,6
A1MRRMHGV3PN5W,0.05,0.2,0.75,6.1071428571,0.1111111111,20
A3PWPNZVMNX3PA,0.2,0,0.8,0.95,0,5
A3QN1DHU09PHZ5,0.1666666667,0,0.8333333333,0,1,6
A5U7OJUCRN1X3,0,0,1,2,0.25,5
AUPCXT1LFJ77P,0.4,0,0.6,1.5,0.6666666667,5
A2KQCE98LZ1ISG,0.2,0,0.8,1,0.6666666667,5
A31HAO24RQ0Q1H,0.1818181818,0.0909090909,0.7272727273,1.6666666667,0.5714285714,11
A2CG7WBW1QS0IB,0,0.1666666667,0.8333333333,0,2,6
A2OAGPCQ39Z08T,0.1,0.2,0.7,2.5,0.25,10
ABMLG8XYV5ICE,0.2,0.4,0.4,0.5,0.6666666667,5
A2BXIIRN07VR2K,0,0,1,0.5,1.3333333333,7
A10H52874HQ6HH,0,0,1,1,0.6666666667,5
AI8EMB0HUC6Z5,0.125,0,0.875,3.3333333333,0,8
A2V07RDZOWU26,0,0.1666666667,0.8333333333,0,2,6
A23L0E9RHX9BO4,0.2,0,0.8,0,0.6666666667,5
A1L04ZMUEYMAG7,0,0,1,0,0.6666666667,5
A1NTHFUH47666E,0,0,1,0,0.6666666667,5
A22B18GTN2DXMB,0.6,0.2,0.2,0,0,5
A2B4GQO7RU9GAO,0.3333333333,0.3333333333,0.3333333333,1.1666666667,0,6
A2A3S7O85B23EA,0.1111111111,0.1111111111,0.7777777778,2,2,9
A3L5FJJQNE15AX,0,0.2,0.8,0.6666666667,0.6666666667,5
A2WC9NFLG57W4H,0.1666666667,0,0.8333333333,2.1666666667,0.2,6
A32UION5ZPO02T,0,0.1333333333,0.8666666667,0,0.1538461538,15
A1ILGI7ABERRV8,0.1428571429,0.1428571429,0.7142857143,0,0.4,7
A3CCWFQO56K69J,0.25,0.0833333333,0.6666666667,1.2666666667,2,12
A2ZKB7JH31M697,0.1428571429,0.1428571429,0.7142857143,2.75,0.75,7
A1LHCZMHB775JL,0.2857142857,0.2857142857,0.4285714286,0,0.1666666667,7
A3JJW1YRQASYIE,0,0.4,0.6,0,1.5,5
A3PHVY0OW1QW40,0,0.2,0.8,2,0,5
A34AAAX9RZ1LVF,0,0.125,0.875,1.6666666667,3,8
A2MD0DDF2ENIMA,0,0.1666666667,0.8333333333,0,0.5,6
AJO2V8O9EU056,0.2222222222,0,0.7777777778,4.5188405797,0,9
A311A59A96O3KB,0.1666666667,0,0.8333333333,1,1,6
A1KKGK6XVOT6J8,0,0,1,1.6666666667,0.25,5
A3N38KMSMYELWC,0.2,0.2,0.6,0.6,0.25,5
A22F0G9ICZMUU6,0.2,0,0.8,0,1.5,5
A2ZV87J3I223RY,0,0,1,0,0.6666666667,5
A10JCH4QD28T7O,0.2,0,0.8,0.5,1.5,5
ACPNA5348U2YT,0,0,1,1.6666666667,0.8,9
AWPUVDKSOMAQF,0,0,1,0,2,6
A1U5XB6PCIDLIK,0,0,1,1.75,0.2857142857,9
A2YX875ZAQ35KR,0.4,0,0.6,0,0.6666666667,5
A1S8E2JSVXHIPB,0.7142857143,0,0.2857142857,0.5,2.5,7
A1HNXJGSSCKV4O,0.2,0,0.8,1,0.25,5
A1SYY4LNUTU28U,0,0,1,1.6666666667,0.1666666667,7
A30VYOQO8KQ5OT,0,0,1,0.5,0.5,6
A1LAGS8H4A2DR7,0,0.5,0.5,2.7666666667,0,10
A1LA4K5JF78BER,0,0.1428571429,0.8571428571,6.3571428571,0,7
A1TOB9A9JWG79B,0,0.125,0.875,1,1.6666666667,8
A2WM98XX0E3OSO,0.5,0.1666666667,0.3333333333,0,1,6
A39HB69V29EDTX,0,0,1,0,0.4,7
A3CI5CQIIPKHZL,0.4,0.2,0.4,0,4,5
AOPN9X7L1BL3M,0.2,0,0.8,0,1.5,5
A1ADYDTWSOKPQB,0.1666666667,0.1666666667,0.6666666667,1,1,6
A368J1XGQ42CKR,0,0,1,1,1.5,5
A39ESAUARFO355,0.2,0,0.8,1.7222222222,0,5
A41AW0ZKYBLYC,0,0.1666666667,0.8333333333,2,0.5,6
A2QLQWZYEKZH8P,0.4285714286,0.1428571429,0.4285714286,2.4166666667,0,7
A387EUF3DPJY8W,0,0,1,0,1.5,5
A16R09SYQR13YW,0.4285714286,0.1428571429,0.4285714286,1,0,7
A2L0WJMOT484GM,0,0.25,0.75,0,0.7142857143,12
A12QTNPW8GV60,0,0,1,0,4,5
AYEL1O94FD753,0.2,0,0.8,2.1666666667,1.5,5
A78537UQRSMF4,0.3333333333,0,0.6666666667,1,0.8,9
A2OW9VTX019OFQ,0.2,0.2,0.6,1,0.6666666667,5
A1Q3P49IHBK138,0.2,0,0.8,2,0,5
A1POZEFKZQMIBH,0,0.3333333333,0.6666666667,1,1,6
A32L2MXKLX4IY6,0,0,1,1,0.25,5
AG01T28ZLS2RM,0.3333333333,0,0.6666666667,0,1,6
A33AEK6T00UR4X,0,0,1,0.5714285714,0.4,7
A175QQWWCOAADN,0.2,0.2,0.6,0,0.6666666667,5
A17I9UOF1T259E,0.4,0.2,0.4,0.625,0,5
A1F4ZD9ULVZCH8,0.3333333333,0,0.6666666667,1,1,6
A1KC1ML0O6MF1Q,0,0.2,0.8,0,1.5,5
A9EG0WGS963JX,0,0,1,0.6666666667,0.625,13
A3U4EC4RR96F2G,0,0,1,2.1666666667,2,6
A2I7OCBYAI9WQP,0.2,0.6,0.2,0,4,5
A2U019BJGLQWSI,0.2,0.2,0.6,0.625,0.6666666667,5
A1H6SBO7R007I8,0.2,0.1333333333,0.6666666667,4.8361111111,0.0714285714,15
A3IY316DRNF5F2,0.0769230769,0.0769230769,0.8461538462,4.0476190476,0.3,13
A2VSDP8EXI1IMU,0,0,1,1,1.5,5
A13QGI4AZOB64K,0.1111111111,0.1111111111,0.7777777778,2,0,9
A96GQNMC7BPC3,0,0,1,3.3194444444,0.1666666667,7
A2JGF6NSP8HEA,0.3333333333,0,0.6666666667,0.5,0.5,6
A2KJGTJ1J5LZGS,0,0.2,0.8,1.5,0.6666666667,5
A3J00Z6QWD00E7,0.2,0.2,0.6,0.8,1.5,5
A7HPQEWKPSFJ6,0,0,1,3.7,0.4285714286,10
A1O2UJVJ2ZE5G6,0,0,1,0.5,0.25,5
APHX2A37KDRAH,0,0.1666666667,0.8333333333,0.5,0,6
AVKJF5RKODNQU,0,0,1,0,4,5
ATC42ZSNK0R5M,0,0.2,0.8,1,0.25,5
A3I3K6WPCDWR4D,0.1666666667,0,0.8333333333,0,0.2,6
A3VGK9YUJVYWVE,0,0,1,1,0.125,9
A1WA6615U75AHC,0,0,1,0,2,6
A1TZCTQW0SAFT1,0.0909090909,0.3636363636,0.5454545455,1.8571428571,4.5,11
A218007H2862D4,0,0.2,0.8,0,4,5
A3A7LHQOIFGGKA,0.2,0,0.8,0,0.6666666667,5
A3ICOHZR6S3XFW,0.3333333333,0,0.6666666667,1.6666666667,0.5,6
AFR4PDPFKCAY0,0.1666666667,0,0.8333333333,0,2,6
A1EWKHSCI2RGXC,0,0.4,0.6,1,0.25,5
AXMVY1CH5125B,0.4,0.3,0.3,8.5569548872,0,10
A3DO04JPY7YC49,0,0,1,1.6071428571,0.25,5
AGC2PBE6BHJPI,0.2,0.4,0.4,1.8,1.5,5
A3SUZA0C8QV8AW,0.25,0,0.75,1.9523809524,0.1428571429,8
AYKMJRAR6FSW8,0,0,1,3.4,0.6666666667,5
A196GCRLIMC7QM,0.125,0,0.875,0,3,8
A2CIQEY05SPHTZ,0,0.2,0.8,1.6,0,5
A3U52V5ZAHZZKU,0,0,1,3.1666666667,0.2222222222,11
AV27V8MP3KAP2,0,0,1,1,0.5,6
A2CKLS7W3JAK1L,0,0,1,1.6666666667,0.5,6
A1KGHCUNUBJ2R4,0,0,1,1,2,6
A1HU9PRI6694OH,0.4,0.4,0.2,0.3333333333,0.25,5
A3QM79VZN1T98V,0.0909090909,0.1818181818,0.7272727273,0.5,0.2222222222,11
A5B0HOOGN9MBQ,0.2,0,0.8,0,1.5,5
A1PKNP2Y807GSA,0.1666666667,0.1666666667,0.6666666667,1,1,6
A25L8MXFIFXLKQ,0,0,1,0,0.25,5
A1NQRQMIMSKDRZ,0.4,0,0.6,0.5,0,5
A10UCR7QHTF29U,0.625,0.0625,0.3125,2.4666666667,0.7777777778,16
A2OV9H55RE8KVR,0,0.2,0.8,1,1.5,5
AQ1B8RGVTOWQN,0,0.1666666667,0.8333333333,0,5,6
A3JXGDNJV1EBAY,0.3333333333,0,0.6666666667,1,0.5,6
A3URH9PINA3UZT,0.25,0,0.75,1,0.3333333333,8
A3H5TH1NOJYN8W,0,0.0625,0.9375,4.5,0.3333333333,16
A12WTFZ1MXQ470,0.2,0.7,0.1,0,2.3333333333,10
